data,uf,canal,categoria,segmento,produto,quantidade,receita,custo,lucro,ano,mes,mes_nome,trimestre,dia_semana,margem_lucro,ticket_unitario,status_lucro
2023-01-01 00:00:00.000000000,BA,Online,Acessórios,Corporativo,Produto_40,1,2133.01690492487,1515.4304473707411,617.5864575541286,2023,1,January,1,Sunday,28.95,2133.02,Lucrativo
2023-01-01 07:00:38.895558223,BA,Loja Física,Acessórios,Corporativo,Produto_27,13,18812.07917177898,15735.396787104732,3076.6823846742464,2023,1,January,1,Sunday,16.35,1447.08,Lucrativo
2023-01-01 07:00:38.895558223,BA,Online,Eletrônicos,Distribuidor,Produto_108,1,666.4174759238217,483.3182877045843,183.09918821923745,2023,1,January,1,Sunday,27.48,666.42,Lucrativo
2023-01-01 14:01:17.791116446,PR,Online,Informática,Corporativo,Produto_51,9,6616.534024680444,5587.961806298998,1028.572218381445,2023,1,January,1,Sunday,15.55,735.17,Lucrativo
2023-01-02 18:03:53.373349339,MG,Marketplace,Informática,Corporativo,Produto_3,2,4544.174036035545,2797.938768822212,1746.2352672133334,2023,1,January,1,Monday,38.43,2272.09,Lucrativo
2023-01-03 01:04:32.268907563,MG,Marketplace,Informática,Varejo,Produto_29,5,5108.425035549411,3633.207042827729,1475.2179927216823,2023,1,January,1,Tuesday,28.88,1021.69,Lucrativo
2023-01-03 01:04:32.268907563,BA,Marketplace,Acessórios,Varejo,Produto_100,11,5613.634159844255,3506.2794611730023,2107.3546986712527,2023,1,January,1,Tuesday,37.54,510.33,Lucrativo
2023-01-03 15:05:50.060024009,MG,Marketplace,Informática,Varejo,Produto_83,6,10415.22286898458,5779.448826421408,4635.774042563172,2023,1,January,1,Tuesday,44.51,1735.87,Lucrativo
2023-01-03 15:05:50.060024009,PR,Marketplace,Informática,Varejo,Produto_55,12,21941.27362115888,13316.033654196272,8625.23996696261,2023,1,January,1,Tuesday,39.31,1828.44,Lucrativo
2023-01-03 15:05:50.060024009,SP,Loja Física,Acessórios,Varejo,Produto_52,7,2877.299496956727,1768.6929600801966,1108.6065368765303,2023,1,January,1,Tuesday,38.53,411.04,Lucrativo
